,Dmax,X,Ku,Ka,W,ldr,xpolKa,mkg
157,3.890625,7.011809e-18,2.235267e-16,5.327773e-15,1.022909e-14,6.0405163658436645e-05,3.2182499999999997e-19,
73,3.890625,6.686553999999999e-18,2.2352989999999997e-16,7.095878000000001e-15,1.299199e-14,7.179268020109702e-05,5.094321e-19,
5,3.890625,6.601710999999999e-18,2.1732969999999998e-16,5.670526999999999e-15,9.761708999999999e-15,1.8137873252344977e-05,1.0285129999999999e-19,
57,3.890625,7.654832e-18,2.446405e-16,5.475143e-15,2.861826e-14,2.0792899838415176e-05,1.138441e-19,
17,3.9375,6.440216e-18,2.113531e-16,5.338204000000001e-15,2.421959e-14,2.9132419817601575e-06,1.555148e-20,
169,3.9375,6.787728e-18,2.221741e-16,5.774889e-15,3.1725049999999997e-15,1.3540850741893047e-05,7.819691e-20,
141,3.9375,6.502527999999999e-18,2.170396e-16,6.193255999999999e-15,5.4989999999999995e-14,6.438734326499664e-06,3.9876729999999997e-20,
69,3.9375,7.286522e-18,2.5351069999999997e-16,9.236235e-15,4.7000939999999997e-14,2.5347828417098527e-05,2.341185e-19,
81,3.984375,7.476655e-18,2.464231e-16,6.323194000000001e-15,1.0856749999999999e-14,4.418746285500649e-06,2.7940589999999995e-20,
41,3.984375,7.290513e-18,2.3080930000000002e-16,4.921210999999999e-15,3.632302e-15,1.9048258650157452e-05,9.37405e-20,
125,3.984375,6.409023e-18,2.145107e-16,6.680265000000001e-15,7.0270729999999995e-15,1.5767757716198381e-06,1.053328e-20,
193,4.03125,7.373848e-18,2.490075e-16,7.488804e-15,5.365886e-14,0.0001355508836925095,1.015114e-18,
197,4.03125,6.8075059999999996e-18,2.266714e-16,6.799656999999999e-15,1.199249e-14,1.341816065133874e-05,9.123889000000001e-20,
137,4.03125,7.289226e-18,2.3911e-16,6.565854999999999e-15,1.3961139999999998e-14,8.145009294296021e-06,5.3478949999999995e-20,
9,4.078125,8.001722999999999e-18,2.716779e-16,8.671364999999998e-15,7.067234999999999e-15,1.5401762006327724e-05,1.3355429999999997e-19,
29,4.125,7.704907999999999e-18,2.4620449999999997e-16,5.842201999999999e-15,1.14982e-14,5.849618003622608e-05,3.417465e-19,
101,4.125,6.789817e-18,2.27802e-16,6.655046999999999e-15,2.461058e-14,4.8152973224681965e-05,3.2046029999999997e-19,
189,4.171875,7.218582e-18,2.384531e-16,5.269286e-15,3.3914929999999997e-15,1.510547918636415e-05,7.959509e-20,
109,4.171875,7.156776e-18,2.359384e-16,6.7895919999999996e-15,6.045946999999999e-15,6.18683125583982e-05,4.2006059999999994e-19,
33,4.171875,6.596489999999999e-18,2.155241e-16,5.964786999999999e-15,6.477109e-15,1.0523460435385203e-05,6.27702e-20,
153,4.171875,6.8559639999999994e-18,2.2314299999999997e-16,5.2425829999999995e-15,1.774299e-14,1.2714886917384045e-05,6.665884999999999e-20,
133,4.265625,6.974741e-18,2.215248e-16,4.638709999999999e-15,1.9204079999999996e-15,5.5515585151906475e-05,2.5752070000000004e-19,
173,4.265625,7.297813999999999e-18,2.3632409999999996e-16,6.011339e-15,1.089086e-14,1.922914345705674e-05,1.155929e-19,
185,4.3125,7.491275000000001e-18,2.5518e-16,8.075431e-15,2.056083e-14,2.9498710347472475e-06,2.382148e-20,
145,4.3125,7.257352e-18,2.46034e-16,7.711666999999999e-15,1.2721719999999998e-14,2.6424857297391083e-05,2.0377969999999998e-19,
89,4.359375,7.102704e-18,2.404165e-16,7.818409999999999e-15,1.7769469999999997e-14,3.881255907531071e-05,3.034525e-19,
105,4.40625,7.287672e-18,2.4103159999999995e-16,6.310922e-15,1.446429e-14,3.432431901392538e-05,2.166181e-19,
25,4.40625,6.890350999999999e-18,2.234646e-16,5.734882e-15,1.672378e-15,8.812559700443707e-05,5.053899000000001e-19,
53,4.453125,7.463193e-18,2.463272e-16,6.218840999999999e-15,6.027287e-14,1.5802147056018962e-05,9.827104000000001e-20,
45,4.5,7.822961e-18,2.5373639999999997e-16,6.854593e-15,4.902992e-14,6.319586006054625e-06,4.3318189999999993e-20,
37,4.546875,7.632332e-18,2.426848e-16,5.3668569999999996e-15,2.2850889999999996e-15,8.312049305580529e-06,4.460958e-20,
165,4.546875,7.895752e-18,2.548472e-16,6.469118e-15,4.0474209999999996e-14,6.931445677756999e-05,4.484034000000001e-19,
117,4.546875,7.873395e-18,2.5746919999999997e-16,7.421663e-15,1.148447e-13,0.00022915497510463625,1.700711e-18,
181,4.546875,7.632422e-18,2.629887e-16,9.087635e-15,3.269307e-14,1.027094728166349e-05,9.333862e-20,
13,4.546875,7.360722999999999e-18,2.283172e-16,4.270872e-15,7.28944e-15,1.0972464171251209e-05,4.686198999999999e-20,
65,4.546875,7.39044e-18,2.435716e-16,6.9793000000000004e-15,1.07936e-14,5.7958262289914455e-05,4.0450809999999997e-19,
77,4.59375,7.211841e-18,2.38846e-16,6.093899000000001e-15,2.104123e-14,8.250031712045111e-05,5.027486e-19,
121,4.640625,7.396621e-18,2.354032e-16,5.100234e-15,3.728204e-15,1.0137056456625322e-05,5.170136e-20,
177,4.78125,8.043932e-18,2.618177e-16,6.9453609999999995e-15,2.012795e-14,6.86020640251817e-06,4.764660999999999e-20,
85,4.78125,7.181966e-18,2.34295e-16,5.544991e-15,1.427315e-14,1.3367592481214126e-05,7.412318e-20,
61,4.875,7.45895e-18,2.502226e-16,7.596371999999999e-15,3.5558209999999996e-14,2.431023651816947e-06,1.8466959999999998e-20,
129,4.875,7.638337e-18,2.6116399999999996e-16,8.237207000000001e-15,7.047363e-14,2.251163531522274e-05,1.8543299999999999e-19,
21,4.96875,7.473462999999999e-18,2.440431e-16,6.0932059999999994e-15,7.930416e-15,2.6948210843355697e-05,1.6420099999999998e-19,
97,5.015625,7.692832000000001e-18,2.546049e-16,7.171026999999999e-15,7.560998999999998e-15,1.3322379067879681e-05,9.553514e-20,
161,5.0625,7.401722e-18,2.479244e-16,6.101197999999999e-15,3.333021e-14,2.683305803220941e-05,1.6371379999999999e-19,
182,7.21875,1.216445e-16,3.2947499999999997e-15,1.835494e-14,1.170801e-13,8.859462357272756e-05,1.626149e-18,
174,7.453125,1.0666659999999999e-16,2.395411e-15,1.030724e-15,1.059791e-13,0.0002011628719230366,2.0734339999999997e-19,
38,7.546875,1.091056e-16,2.944791e-15,1.1348910000000001e-14,1.345022e-13,0.00010443143879015692,1.1851829999999999e-18,
42,7.59375,1.043915e-16,3.357776e-15,3.6724229999999996e-14,5.443183999999999e-14,9.094415321982246e-06,3.3398540000000003e-19,
178,7.734375,1.235987e-16,2.9286440000000003e-15,7.424079e-15,9.308278999999998e-14,0.00014913526647547797,1.107192e-18,
66,7.921875,1.3199679999999998e-16,3.745433e-15,3.728659999999999e-14,8.229786000000001e-14,1.5048677004607556e-06,5.61114e-20,
