,model,ELWP,mkg,Dmax,Rgyr,ar,riming,Xa,Xs,Xb,Xe,Ua,Us,Ub,Ue,Aa,As,Ab,Ae,Wa,Ws,Wb,We
41,B,2.0,1.712067e-05,0.005889343000000001,,,0.9933555000000001,1.304604e-09,5.551732e-08,7.736278e-08,,2.6243740000000006e-09,2.084617e-07,2.69976e-07,,2.116696e-08,4.942611999999999e-06,1.132395e-06,,1.83553e-07,3.77787e-05,6.636742e-06,
42,B,2.0,8.357469999999999e-05,0.01427979,,,0.9879565999999999,6.655761e-09,1.0462479999999999e-06,1.194348e-06,,1.330147e-08,3.082171e-06,2.454472e-06,,1.072685e-07,3.649467e-05,1.7330090000000002e-06,,7.920654999999999e-07,0.00017696830000000002,1.797218e-06,
43,B,2.0,9.184213e-05,0.01577735,,,0.988614,7.511001e-09,1.3100640000000002e-06,1.787466e-06,,1.486669e-08,3.814853e-06,4.5736059999999995e-06,,1.11294e-07,3.721949e-05,5.838135e-06,,8.744513000000001e-07,0.00019882310000000002,9.604475e-06,
44,B,2.0,8.141786e-05,0.01214986,,,0.9841953000000001,6.423770000000001e-09,1.006105e-06,1.119807e-06,,1.2737610000000001e-08,2.965487e-06,2.2232040000000003e-06,,9.550463e-08,3.0173720000000004e-05,5.279258e-06,,7.948239000000001e-07,0.0001876154,1.0046419999999999e-05,
45,B,2.0,0.00010184040000000002,0.01551501,,,0.9880681,8.256881e-09,1.545807e-06,2.012298e-06,,1.6257200000000002e-08,4.3795679999999995e-06,4.659977e-06,,1.251491e-07,4.1065e-05,3.873729e-07,,9.700425e-07,0.0002186609,1.713684e-05,
46,B,2.0,9.114403000000001e-05,0.01448393,,,0.9861136,7.534825e-09,1.335913e-06,1.8464680000000002e-06,,1.488572e-08,3.959856e-06,4.812454e-06,,1.1594979999999999e-07,3.5891750000000004e-05,8.44065e-06,,9.157961e-07,0.0002036361,2.247163e-05,
47,B,2.0,6.893443e-05,0.01177267,,,0.9867725,5.594508e-09,7.804814000000001e-07,9.153939e-07,,1.1227610000000001e-08,2.4440119999999997e-06,2.144969e-06,,8.739350999999999e-08,2.93918e-05,1.839864e-07,,6.872301e-07,0.0001503777,1.3323249999999998e-06,
48,B,2.0,6.966960999999999e-05,0.01143662,,,0.9858072,5.4886859999999995e-09,7.738861e-07,9.265383e-07,,1.097957e-08,2.4171549999999997e-06,2.259093e-06,,8.41067e-08,2.535633e-05,1.950727e-06,,6.909560999999999e-07,0.0001516295,3.1726190000000002e-06,
49,B,2.0,7.309622e-05,0.01203956,,,0.9876902,5.91935e-09,8.848704000000001e-07,1.117007e-06,,1.18072e-08,2.756712e-06,2.837641e-06,,9.256944000000001e-08,2.8881209999999998e-05,2.2336660000000002e-06,,7.546038e-07,0.0001561356,1.6706889999999997e-05,
50,B,2.0,8.464828000000001e-05,0.01381529,,,0.9881370999999999,6.851664e-09,1.129248e-06,1.4075090000000001e-06,,1.358322e-08,3.369321e-06,3.3129880000000004e-06,,1.016843e-07,3.31508e-05,1.5482749999999998e-06,,8.472515e-07,0.00018919209999999998,4.652401e-06,
51,B,2.0,1.055047e-05,0.005740777,,,0.9948174000000001,7.924521e-10,2.1073720000000004e-08,2.942098e-08,,1.5777760000000003e-09,7.937253e-08,1.032121e-07,,1.304373e-08,2.2871729999999998e-06,8.437375e-07,,1.2043699999999998e-07,2.362625e-05,2.040932e-06,
52,B,2.0,2.5134360000000002e-05,0.007293413,,,0.9925305,1.913725e-09,1.1344469999999999e-07,1.478692e-07,,3.858493e-09,4.081075e-07,4.593251e-07,,3.2509019999999997e-08,7.841118e-06,1.2152030000000001e-06,,2.774983e-07,5.609182e-05,5.837363000000001e-07,
53,B,2.0,1.243233e-05,0.005403635,,,0.9943702,9.350122e-10,2.934707e-08,4.149383e-08,,1.867659e-09,1.110178e-07,1.4812660000000002e-07,,1.5047139999999997e-08,3.087277e-06,1.459408e-06,,1.3074410000000001e-07,2.5601079999999996e-05,3.276848e-07,
54,B,2.0,1.815441e-05,0.006816096999999999,,,0.9930584000000001,1.384141e-09,6.169648e-08,8.566327000000002e-08,,2.7769929999999997e-09,2.291225e-07,2.943035e-07,,2.1789330000000003e-08,4.882265e-06,8.884755e-07,,1.865116e-07,3.834351e-05,2.408888e-06,
55,B,2.0,6.912534000000001e-06,0.004274247,,,0.9953405000000001,5.051397e-10,9.02433e-09,1.291024e-08,,9.99297e-10,3.445243e-08,4.70499e-08,,8.276406e-09,1.221597e-06,8.472829e-07,,7.643525e-08,1.4219960000000002e-05,4.820686e-07,
